NCES_school_ID,low_grade,high_grade,schoool_name,district,county,address,city,state,ZIP,location,students,teachers
80192000123,PK,5,Antelope Trails Elementary School,Academy School District No. 20 in the county of El Paso an,El Paso County,15280 JESSIE DRIVE,COLORADO SPRINGS,CO,80921,Suburb: Large,284,23.6
80213000035,9,12,Antonito High School,South Conejos School District No. Re10,Conejos County,P O BOX 398,ANTONITO,CO,81120,Rural: Remote,44,5.42
80213001464,7,8,Antonito Middle School,South Conejos School District No. Re10,Conejos County,P O BOX 398,ANTONITO,CO,81120,Rural: Remote,21,1.72
80537006539,KG,12,Apex Home School Enrichment Program,St. Vrain Valley School District No. Re1J,Boulder County,1351 S. SUNSET ST UNIT B,LONGMONT,CO,80501,Suburb: Small,784,4.92
80435000597,PK,5,Appleton Elementary School,Mesa County Valley School District No. 51,Mesa County,2358 H ROAD,GRAND JUNCTION,CO,81505,Suburb: Midsize,417,24.12
80234006625,PK,PK,APS Early Beginnings - A Zoom Site,Aurora Joint District No. 28 of the counties of Adams and A,Arapahoe County,812 N JAMAICA STREET,AURORA,CO,80010,City: Large,20,1.59
80408000566,KG,5,Aragon Elementary School,Fountain School District No. 8 in the county of El Paso an,El Paso County,211 SOUTH MAIN STREET,FOUNTAIN,CO,80817,Suburb: Large,359,26
80531000873,9,12,Arapahoe High School,Littleton School District No. 6 in the county of Arapahoe,Arapahoe County,2201 EAST DRY CREEK ROAD,CENTENNIAL,CO,80122,City: Midsize,2033,91.27
80690001619,PK,5,Arapahoe Ridge Elementary School,Adams 12 Five Star Schools,Adams County,13095 PECOS STREET,WESTMINSTER,CO,80030,Suburb: Large,508,29
80249001219,9,12,Arapahoe Ridge High School,Boulder Valley School District No. Re2,Boulder County,6600 ARAPAHOE AVENUE,BOULDER,CO,80303,Suburb: Midsize,135,21.96
80222000041,PK,5,Arickaree Elementary School,Arickaree School District No. R-2,Washington County,12155 COUNTY ROAD NN,ANTON,CO,80801,Rural: Remote,48,8.17
80222000042,6,12,Arickaree Undivided High School,Arickaree School District No. R-2,Washington County,12155 COUNTY ROAD NN,ANTON,CO,80801,Rural: Remote,50,7.09
80234001296,PK,5,Arkansas Elementary School,Aurora Joint District No. 28 of the counties of Adams and A,Arapahoe County,17301 EAST ARKANSAS AVE,AURORA,CO,80017,City: Large,394,27.78
80291000183,PK,5,Arrowhead Elementary School,Cherry Creek School District No. 5 in the county of Arapah,Arapahoe County,19100 EAST BATES AVENUE,AURORA,CO,80013,City: Large,495,28.65
80345001757,PK,6,Arrowwood Elementary School,Douglas County School District No. Re 1,Douglas County,10345 ARROWWOOD DRIVE,HIGHLANDS RANCH,CO,80130,Suburb: Large,362,23.25
80480000694,9,12,Arvada High School,Jefferson County School District No. R-1,Jefferson County,7951 WEST 65TH AVENUE,ARVADA,CO,80004,Suburb: Large,783,44.77
80480006489,KG,8,Arvada K-8,Jefferson County School District No. R-1,Jefferson County,5751 BALSAM STREET,ARVADA,CO,80002,Suburb: Large,617,45.56
