StateName,StateAbbrev,DataLevel,Charter,SchoolName,SchoolType,NCESSchoolID,StateAssignedSchoolID,DistrictName,DistrictType,NCESDistrictID,StateAssignedDistrictID,EnrollmentTotal,TimePeriodInterval,TimePeriodStart,TimePeriodEnd,LearningModel,LearningModelGrK5,LearningModelGr68,LearningModelGr912,LearningModelStateCat,LearningModelStateCatGrK5,LearningModelStateCatGr68,LearningModelStateCatGr912,EnrollmentInPerson,EnrollmentHybrid,EnrollmentVirtual,StaffCount,StaffCountInPerson
Colorado,CO,School,No,Discovery Canyon Campus Middle School,Regular school,080192006616,1040-1921,Academy 20,Regular local school district,0801920,1040,753,Monthly,2/1/21,2/28/21,Virtual,,,,Remote,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus Middle School,Regular school,080192006616,1040-1921,Academy 20,Regular local school district,0801920,1040,753,Monthly,3/1/21,3/31/21,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus Middle School,Regular school,080192006616,1040-1921,Academy 20,Regular local school district,0801920,1040,753,Monthly,4/1/21,4/30/21,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Discovery Canyon Campus Middle School,Regular school,080192006616,1040-1921,Academy 20,Regular local school district,0801920,1040,753,Monthly,5/1/21,5/31/21,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Douglass Valley Elementary School,Regular school,080192000003,1040-2248,Academy 20,Regular local school district,0801920,1040,296,Monthly,8/1/20,8/31/20,In-person,,,,In-Person,,,,,,,,
Colorado,CO,School,No,Douglass Valley Elementary School,Regular school,080192000003,1040-2248,Academy 20,Regular local school district,0801920,1040,296,Monthly,9/1/20,9/30/20,In-person,,,,In-Person,,,,,,,,
Colorado,CO,School,No,Douglass Valley Elementary School,Regular school,080192000003,1040-2248,Academy 20,Regular local school district,0801920,1040,296,Monthly,10/1/20,10/31/20,In-person,,,,In-Person,,,,,,,,
Colorado,CO,School,No,Douglass Valley Elementary School,Regular school,080192000003,1040-2248,Academy 20,Regular local school district,0801920,1040,296,Monthly,11/1/20,11/30/20,In-person,,,,In-Person,,,,,,,,
Colorado,CO,School,No,Douglass Valley Elementary School,Regular school,080192000003,1040-2248,Academy 20,Regular local school district,0801920,1040,296,Monthly,12/1/20,12/31/20,Virtual,,,,Remote,,,,,,,,
Colorado,CO,School,No,Douglass Valley Elementary School,Regular school,080192000003,1040-2248,Academy 20,Regular local school district,0801920,1040,296,Monthly,1/1/21,1/31/21,Virtual,,,,Remote,,,,,,,,
Colorado,CO,School,No,Douglass Valley Elementary School,Regular school,080192000003,1040-2248,Academy 20,Regular local school district,0801920,1040,296,Monthly,2/1/21,2/28/21,Virtual,,,,Remote,,,,,,,,
Colorado,CO,School,No,Douglass Valley Elementary School,Regular school,080192000003,1040-2248,Academy 20,Regular local school district,0801920,1040,296,Monthly,3/1/21,3/31/21,In-person,,,,In-Person,,,,,,,,
Colorado,CO,School,No,Douglass Valley Elementary School,Regular school,080192000003,1040-2248,Academy 20,Regular local school district,0801920,1040,296,Monthly,4/1/21,4/30/21,In-person,,,,In-Person,,,,,,,,
Colorado,CO,School,No,Douglass Valley Elementary School,Regular school,080192000003,1040-2248,Academy 20,Regular local school district,0801920,1040,296,Monthly,5/1/21,5/31/21,In-person,,,,In-Person,,,,,,,,
Colorado,CO,School,No,Eagleview Middle School,Regular school,080192001402,1040-2358,Academy 20,Regular local school district,0801920,1040,944,Monthly,8/1/20,8/31/20,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Eagleview Middle School,Regular school,080192001402,1040-2358,Academy 20,Regular local school district,0801920,1040,944,Monthly,9/1/20,9/30/20,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Eagleview Middle School,Regular school,080192001402,1040-2358,Academy 20,Regular local school district,0801920,1040,944,Monthly,10/1/20,10/31/20,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Eagleview Middle School,Regular school,080192001402,1040-2358,Academy 20,Regular local school district,0801920,1040,944,Monthly,11/1/20,11/30/20,Hybrid,,,,Hybrid,,,,,,,,
Colorado,CO,School,No,Eagleview Middle School,Regular school,080192001402,1040-2358,Academy 20,Regular local school district,0801920,1040,944,Monthly,12/1/20,12/31/20,Virtual,,,,Remote,,,,,,,,
